HR,COLOR,GLON,GLAT
7602,ffffffff,46.13,-11.09
7603,ffffffff,31.04,-31.52
7604,ffffffff,14.05,-25.56
7605,ffffffff,2.33,-28.74
7606,ffffffff,72.5,4.61
7607,ffffffff,66.7,1.05
7608,ffffffff,90.55,14.91
7609,ffffffff,55.17,-6.12
7610,ffffffff,50.66,-8.8
7611,ffffffff,92.58,15.87
7612,ffffffff,31.05,-31.67
7613,ffffffff,73.9,5.19
7614,ffffffff,26.02,-21.54
7615,ffffffff,71.02,3.36
7616,ffffffff,59.05,-4.08
7617,ffffffff,10.62,-27.01
7618,ffffffff,15.23,-25.67
7619,ffffffff,86.11,12.21
7620,ffffffff,72.06,3.89
7621,ffffffff,10.41,-31.19
7622,ffffffff,55.52,-6.4
7623,ffffffff,5.52,-28.47
7624,ffffffff,6.17,-28.34
7625,ffffffff,22.15,-31.96
7626,ffffffff,91.35,15
7627,ffffffff,3.15,-30.27
7628,ffffffff,75.65,5.93
7629,ffffffff,2.86,-29.15
7630,ffffffff,5.51,-30.68
7631,ffffffff,7.29,-28.18
7632,ffffffff,84.82,11.31
7633,ffffffff,91.93,15.21
7634,ffffffff,89.98,14.15
7635,ffffffff,57.97,-5.21
7636,ffffffff,42.11,-14.42
7637,ffffffff,31.6,-19.66
7638,ffffffff,77.36,6.79
7639,ffffffff,0.58,-30.04
7640,ffffffff,67.77,0.82
7641,ffffffff,61.11,-3.41
7642,ffffffff,73.84,4.54
7643,ffffffff,19.04,-25.02
7644,ffffffff,31.52,-31.98
7645,ffffffff,56.43,-6.49
7646,ffffffff,80.53,8.37
7647,ffffffff,73.07,3.76
7648,ffffffff,48.74,-11.25
7649,ffffffff,28.27,-21.69
7650,ffffffff,13.92,-26.93
7651,ffffffff,86.04,11.54
7652,ffffffff,2.77,-29.84
7653,ffffffff,65.3,-1.34
7654,ffffffff,96.42,17.09
7655,ffffffff,73.26,3.56
7656,ffffffff,62.87,-3.02
7657,ffffffff,63.02,-3
7658,ffffffff,19.39,-25.48
7659,ffffffff,9.34,-28.55
7660,ffffffff,84.49,10.28
7661,ffffffff,34.46,-19.52
7662,ffffffff,57.67,-6.63
7663,ffffffff,30.43,-32.36
7664,ffffffff,55.58,-7.97
7665,ffffffff,30.21,-32.4
7666,ffffffff,102.91,20.06
7667,ffffffff,40.83,-16.51
7668,ffffffff,8.38,-29.04
7669,ffffffff,48.01,-12.57
7670,ffffffff,67.41,-0.66
7671,ffffffff,30.6,-21.53
7672,ffffffff,56.56,-7.55
7673,ffffffff,14.45,-32.57
7674,ffffffff,16.98,-32.69
7675,ffffffff,29.59,-22.06
7676,ffffffff,97.77,17.38
7677,ffffffff,61.91,-4.49
7678,ffffffff,69.49,0.39
7679,ffffffff,59.18,-6.23
7680,ffffffff,55.36,-8.64
7681,ffffffff,37.92,-18.48
7682,ffffffff,97.64,17.21
7683,ffffffff,74.84,3.64
7684,ffffffff,83.12,8.88
7685,ffffffff,100.7,18.64
7686,ffffffff,108.94,22.48
7687,ffffffff,86.31,10.65
7688,ffffffff,62.48,-4.65
7689,ffffffff,72.86,2.1
7690,ffffffff,41.3,-17.29
7691,ffffffff,19.96,-33.2
7692,ffffffff,90.3,12.9
7693,ffffffff,50.35,-12.29
7694,ffffffff,32.48,-21.65
7695,ffffffff,97.08,16.64
7696,ffffffff,56.71,-8.58
7697,ffffffff,87.56,11.18
7698,ffffffff,50,-29.6
7699,ffffffff,71.69,1.03
7700,ffffffff,51.62,-11.78
7701,ffffffff,95.39,15.65
7702,ffffffff,85.08,9.54
7703,ffffffff,5.26,-30.91
7704,ffffffff,100.94,18.54
7705,ffffffff,60.55,-6.68
7706,ffffffff,2.43,-32.39
7707,ffffffff,27.03,-33.29
7708,ffffffff,73.91,2.04
7709,ffffffff,33.97,-21.71
7710,ffffffff,41.58,-18.08
7711,ffffffff,65.71,-3.57
7712,ffffffff,30.58,-23.39
7713,ffffffff,60.9,-6.79
7714,ffffffff,13.87,-33.6
7715,ffffffff,30.41,-23.59
7716,ffffffff,61.57,-6.45
7717,ffffffff,43.3,-17.56
7718,ffffffff,65.78,-3.85
7719,ffffffff,65.53,-4.07
7720,ffffffff,41.65,-18.6
7721,ffffffff,83.37,7.54
7722,ffffffff,15.62,-29.38
7723,ffffffff,63.85,-5.61
7724,ffffffff,56.24,-10.61
7725,ffffffff,12.38,-30.36
7726,ffffffff,86.6,9.47
7727,ffffffff,95.83,15.08
7728,ffffffff,5.09,-32.02
7729,ffffffff,6.54,-31.76
7730,ffffffff,82.71,6.87
7731,ffffffff,67.66,-3.27
7732,ffffffff,26.87,-33.82
7733,ffffffff,79.85,4.93
7734,ffffffff,74.23,1.14
7735,ffffffff,82.68,6.78
7736,ffffffff,74.45,1.17
7737,ffffffff,78.85,4.13
7738,ffffffff,31.12,-24.35
7739,ffffffff,65.19,-5.17
7740,ffffffff,91.08,12.06
7741,ffffffff,63.47,-6.36
7742,ffffffff,94.66,14.16
7743,ffffffff,71.99,-0.68
7744,ffffffff,67.11,-4.04
7745,ffffffff,8.13,-34.08
7746,ffffffff,61.96,-7.57
7747,ffffffff,31.09,-24.7
7748,ffffffff,21.5,-28.31
7749,ffffffff,7.97,-34.13
7750,ffffffff,110.38,22.5
7751,ffffffff,83.67,7.05
7752,ffffffff,76.36,2.08
7753,ffffffff,64.61,-5.97
7754,ffffffff,31.1,-24.81
7755,ffffffff,85.82,8.38
7756,ffffffff,81.93,5.8
7757,ffffffff,74.87,0.99
7758,ffffffff,17.01,-34.54
7759,ffffffff,77.67,2.76
7760,ffffffff,68.43,-3.62
7761,ffffffff,24.48,-27.66
7762,ffffffff,79.69,3.99
7763,ffffffff,75.83,1.32
7764,ffffffff,13.6,-31.11
7765,ffffffff,6.22,-32.75
7766,ffffffff,10.87,-34.67
7767,ffffffff,78.1,2.78
7768,ffffffff,42.4,-20.06
7769,ffffffff,75.05,0.63
7770,ffffffff,73.4,-0.54
7771,ffffffff,55.22,-12.74
7772,ffffffff,37.47,-22.67
7773,ffffffff,31.17,-25.48
7774,ffffffff,55.57,-12.67
7775,ffffffff,29.12,-26.32
7776,ffffffff,29.15,-26.37
7777,ffffffff,82.82,5.8
7778,ffffffff,56.5,-12.19
7779,ffffffff,1.25,-34.13
7780,ffffffff,59.26,-10.44
7781,ffffffff,90.45,10.84
7782,ffffffff,75.31,0.48
7783,ffffffff,100.45,16.92
7784,ffffffff,77.23,1.69
7785,ffffffff,47.58,-30.69
7786,ffffffff,83.35,5.93
7787,ffffffff,1.66,-34.44
7788,ffffffff,34.55,-24.7
7789,ffffffff,65.09,-7.09
7790,ffffffff,19.09,-35.19
7791,ffffffff,89.08,9.6
7792,ffffffff,96.48,14.36
7793,ffffffff,56.82,-12.71
7794,ffffffff,48.75,-17.63
7795,ffffffff,78.85,2.39
7796,ffffffff,78.15,1.87
7797,ffffffff,70.81,-3.33
7798,ffffffff,82.7,5.04
7799,ffffffff,0.35,-34.58
7800,ffffffff,78.84,2.22
7801,ffffffff,14.55,-32.01
7802,ffffffff,80.46,3.32
7803,ffffffff,45.03,-20.09
7804,ffffffff,102.43,17.72
7805,ffffffff,98.1,15.11
7806,ffffffff,71.72,-3.02
7807,ffffffff,76.04,0.04
7808,ffffffff,4.46,-34.26
7809,ffffffff,41.54,-22.19
7810,ffffffff,53.3,-15.71
7811,ffffffff,63.02,-9.48
7812,ffffffff,48.01,-30.75
7813,ffffffff,61.77,-10.41
7814,ffffffff,26.22,-29.08
7815,ffffffff,89.38,9.08
7816,ffffffff,59.66,-11.91
7817,ffffffff,6.69,-34.31
