COLOR,calc_x,calc_y,calc_z
ffffffff,-7.801344619,15.73639008,-8.011792544
ffffffff,7.388885592,-9.85181079,-13.33138677
ffffffff,2.21856185,0.616095718,-19.16721628
ffffffff,0.718966304,3.245728158,-19.24624802
ffffffff,-3.994742835,9.793704287,-12.0735945
ffffffff,7.412336566,-10.57020004,-10.67261292
ffffffff,-0.563154,4.371885762,-15.01581928
ffffffff,1.939553656,-0.037579975,-15.1434266
ffffffff,-5.626518172,11.00939146,-5.499563339
ffffffff,-8.468247339,15.48039621,-3.311777183
ffffffff,-9.199331515,16.0694411,-0.284412844
ffffffff,-2.123271097,6.829631564,-14.84101869
ffffffff,-8.30640454,15.03461952,-2.91137481
ffffffff,-2.902351159,8.092598506,-15.04827396
ffffffff,15.67040004,-22.53835599,-22.84669069
ffffffff,8.848092125,-7.41916919,-40.21612643
ffffffff,5.652146012,-5.014682955,-24.22987152
ffffffff,-2.509243811,7.085885931,-14.29967873
ffffffff,1.105031337,1.220390846,-16.64116829
ffffffff,-5.967135356,12.73846995,-13.88145364
ffffffff,-8.783329032,16.12985426,-6.066944387
ffffffff,2.678581226,-0.851754648,-20.59914273
ffffffff,-4.81928834,10.38701461,-11.88229126
ffffffff,-4.060283357,9.284785742,-13.09265586
ffffffff,0.248337254,2.312291221,-15.37723765
ffffffff,3.421925991,-2.679277105,-17.89604844
ffffffff,-6.741520355,12.71104978,-6.940020086
ffffffff,4.305960155,-4.797386297,-14.61596913
ffffffff,-8.212427598,13.27631293,3.950199451
ffffffff,-8.481128973,14.51952967,-0.819451928
ffffffff,-7.393818584,14.25194362,-10.38294265
ffffffff,-0.621247133,3.680847001,-15.85308239
ffffffff,1.752864426,-0.472302771,-15.1120518
ffffffff,-2.356578728,6.629023386,-16.00440574
ffffffff,0.766185154,1.793692915,-19.16884501
ffffffff,3.045165164,-2.649922268,-15.64262692
ffffffff,4.349374905,-4.743184728,-16.35404999
ffffffff,-8.301797122,13.84934129,1.052666776
ffffffff,-7.024940877,13.12345057,-8.285100178
ffffffff,-10.47750459,18.11105209,-3.030018881
ffffffff,-8.77114299,15.24732641,-3.076302818
ffffffff,5.233944628,-5.864139515,-19.43507412
ffffffff,8.049515286,-10.76784332,-18.51766867
ffffffff,7.749964246,-10.36713364,-17.82201696
ffffffff,-6.894105101,12.29017647,-4.918296502
ffffffff,-8.042436682,13.15496604,2.210870792
ffffffff,-12.323098,20.63941469,0.058736984
ffffffff,-6.222596624,12.24421462,-12.52391606
ffffffff,-4.138918994,9.061066017,-14.55400513
ffffffff,-5.72453824,10.84837236,-8.620768396
ffffffff,-6.139879054,11.56690677,-8.970015941
ffffffff,-8.422681193,14.42524845,-2.311952523
ffffffff,6.88035358,-9.284700969,-15.88819489
ffffffff,-7.986934847,13.16206127,1.057680055
ffffffff,1.445025642,0.000252205,-17.95997979
ffffffff,6.526083563,-9.316751933,-11.69313081
ffffffff,4.85204174,-5.998191446,-16.21114241
ffffffff,-4.589245651,9.0969946,-11.845849
ffffffff,-3.024514721,7.163516814,-17.58859923
ffffffff,-3.117825048,6.963462952,-15.03874418
ffffffff,-9.927243484,16.73934287,-2.957196636
ffffffff,-4.61800509,9.020490635,-11.86103906
ffffffff,-8.907547242,14.77787039,-0.750345767
ffffffff,4.223202648,-4.985118741,-16.93200608
ffffffff,4.726456547,-6.086727637,-14.59166931
ffffffff,-6.035810008,10.97456006,-8.933891626
ffffffff,-0.923046445,3.27287582,-15.12634917
ffffffff,0.190698806,1.575850016,-16.42512675
ffffffff,-9.303429546,15.99773465,-6.123940686
ffffffff,-13.81332568,23.19047066,-4.231770914
ffffffff,-9.864137798,17.45612429,-11.13698819
ffffffff,-5.332810609,10.1575074,-12.51543995
ffffffff,-5.796736606,10.57043011,-9.672138286
ffffffff,-8.02838307,14.07525388,-8.392150561
ffffffff,-7.913883172,12.40796665,5.249137248
ffffffff,0.451919242,1.157918474,-17.91024126
ffffffff,5.572035579,-7.823252759,-12.26258557
ffffffff,-3.484152509,7.124625579,-13.4909506
ffffffff,4.360123142,-5.700741986,-13.85172686
ffffffff,-9.41999956,16.60243282,-12.62014389
ffffffff,-9.191960527,15.37082045,-4.289801108
ffffffff,-12.92454828,22.50373677,-16.17831498
ffffffff,-6.217850807,11.13465896,-11.29492521
ffffffff,-6.866769162,12.20646956,-12.32569064
ffffffff,-23.23584511,38.0365626,-4.920821125
ffffffff,5.909623776,-8.689221384,-10.13366434
ffffffff,1.493206582,-1.16117446,-14.82751626
ffffffff,3.249169039,-3.920599519,-15.84064271
ffffffff,-0.945598181,2.758723579,-15.1298258
ffffffff,0.086317719,1.17262166,-16.24414699
ffffffff,-2.893858831,5.920171971,-15.58459424
ffffffff,-8.808358992,14.79964133,-7.442163246
ffffffff,5.289085604,-7.398623775,-14.33652686
ffffffff,-9.069473549,14.52547177,0.984387351
ffffffff,-6.524024975,11.25906226,-10.23627861
ffffffff,-10.60703124,17.37028873,-4.448790352
ffffffff,4.410427039,-5.582565758,-20.59209418
ffffffff,-8.511560215,13.74380428,-1.158791642
ffffffff,5.024217533,-7.00482997,-15.27994132
ffffffff,-10.18206788,16.6026132,-5.518544694
ffffffff,2.177930034,-2.458241824,-16.17152207
ffffffff,5.237323378,-7.501945049,-13.99750673
ffffffff,6.511396123,-9.498980994,-14.5457993
ffffffff,-2.885012199,7.395859332,-48.37251205
ffffffff,-8.95727019,14.49173919,-4.561736425
ffffffff,-1.900738663,3.924871683,-16.02865306
ffffffff,6.664402466,-9.489525033,-19.78849793
ffffffff,-9.294038798,14.56066274,3.709538178
ffffffff,-11.22736291,18.12200415,-5.541027145
ffffffff,-2.697390513,5.365496785,-20.13177937
ffffffff,2.159682791,-2.561074741,-16.61476567
ffffffff,-9.703845849,15.49928576,-2.452921715
ffffffff,-0.490145282,1.707090538,-19.00114444
ffffffff,2.747242719,-3.598448061,-16.21485803
ffffffff,5.377979414,-7.880867993,-13.43045942
ffffffff,-8.434251217,13.23912249,1.777401931
ffffffff,-3.021809129,5.451487976,-15.01808364
ffffffff,4.184742179,-5.960917886,-14.53782235
ffffffff,-1.82895992,3.581805322,-15.75495046
ffffffff,-8.099661136,12.86702341,-2.017858268
ffffffff,-8.318663424,13.33853172,-5.107718915
ffffffff,-1.247965263,2.610548322,-15.18268841
ffffffff,-8.355452756,13.20171006,-0.898118663
ffffffff,-9.765809028,15.21765246,3.836788174
ffffffff,3.515167234,-4.895477977,-16.15373193
ffffffff,-0.46973917,1.433778396,-18.11910972
ffffffff,-6.518067362,10.76684894,-13.67770944
ffffffff,-9.064183818,14.12976403,2.899650752
ffffffff,-5.946105067,9.810456348,-14.10593113
ffffffff,-6.217673176,10.11855094,-11.18375645
ffffffff,-10.12778903,16.37271013,-15.36313266
ffffffff,-4.811254689,7.966274312,-13.85988187
ffffffff,-5.996852502,9.664398738,-10.21944985
ffffffff,-1.275725858,2.467445465,-17.3225647
ffffffff,-15.60114586,24.39483188,-2.558867829
ffffffff,-0.709765565,1.553843564,-17.87186479
ffffffff,-4.990152542,8.127260411,-13.90756958
ffffffff,-4.871650006,7.952925633,-14.67908264
ffffffff,-10.75453011,16.87473076,-4.216854507
ffffffff,-6.761731953,10.93536583,-18.55406941
ffffffff,-7.289368478,11.62475562,-14.16901723
ffffffff,-11.04361923,17.26842611,-8.194388047
ffffffff,-2.153307389,3.606479812,-17.38896282
