lambda,phi,theta
0.179361534,222.4922359,0
0.178691232,222.4922359,0
0.178030107,222.4922359,0
0.177377968,222.4922359,0
0.176734624,222.4922359,0
0.176099893,222.4922359,0
0.175473599,222.4922359,0
0.174855568,222.4922359,0
0.174245633,222.4922359,0
0.173643632,222.4922359,0
0.173049406,222.4922359,0
0.172462801,222.4922359,0
0.171883669,222.4922359,0
0.171311864,222.4922359,0
0.170747244,222.4922359,0
0.170189672,222.4922359,0
0.169639013,222.4922359,0
0.169095139,222.4922359,0
0.168557921,222.4922359,0
0.168027235,222.4922359,0
0.167502963,222.4922359,0
0.166984986,222.4922359,0
0.16647319,222.4922359,0
0.165967464,222.4922359,0
0.165467699,222.4922359,0
0.16497379,222.4922359,0
0.164485633,222.4922359,0
0.164003127,222.4922359,0
0.163526175,222.4922359,0
0.163054681,222.4922359,0
0.162588551,222.4922359,0
0.162127694,222.4922359,0
0.161672021,222.4922359,0
0.161221445,222.4922359,0
0.160775881,222.4922359,0
0.160335247,222.4922359,0
0.159899462,222.4922359,0
0.159468446,222.4922359,0
0.159042122,222.4922359,0
0.158620415,222.4922359,0
0.158203251,222.4922359,0
0.157790558,222.4922359,0
0.157382265,222.4922359,0
0.156978304,222.4922359,0
0.156578606,222.4922359,0
0.156183107,222.4922359,0
0.155791742,222.4922359,0
0.155404448,222.4922359,0
0.155021162,222.4922359,0
0.154641825,222.4922359,0
0.154266377,222.4922359,0
0.153894761,222.4922359,0
0.15352692,222.4922359,0
0.153162799,222.4922359,0
0.152802343,222.4922359,0
0.152445499,222.4922359,0
0.152092216,222.4922359,0
0.151742441,222.4922359,0
0.151396126,222.4922359,0
0.151053221,222.4922359,0
0.150713678,222.4922359,0
0.150377451,222.4922359,0
0.150044492,222.4922359,0
0.149714758,222.4922359,0
0.149388204,222.4922359,0
0.149064787,222.4922359,0
0.148744463,222.4922359,0
0.148427192,222.4922359,0
0.148112932,222.4922359,0
0.147801643,222.4922359,0
0.147493286,222.4922359,0
0.147187823,222.4922359,0
0.146885214,222.4922359,0
0.146585424,222.4922359,0
0.146288416,222.4922359,0
0.145994154,222.4922359,0
0.145702603,222.4922359,0
0.145413728,222.4922359,0
0.145127496,222.4922359,0
0.144843872,222.4922359,0
0.144562826,222.4922359,0
0.144284324,222.4922359,0
0.144008336,222.4922359,0
0.143734829,222.4922359,0
0.143463775,222.4922359,0
0.143195143,222.4922359,0
0.142928903,222.4922359,0
0.142665028,222.4922359,0
0.142403488,222.4922359,0
0.142144256,222.4922359,0
0.141887305,222.4922359,0
0.141632608,222.4922359,0
0.141380139,222.4922359,0
0.141129871,222.4922359,0
0.140881779,222.4922359,0
0.140635839,222.4922359,0
0.140392024,222.4922359,0
0.140150312,222.4922359,0
0.139910679,222.4922359,0
0.1396731,222.4922359,0
0.139437554,222.4922359,0
0.139204017,222.4922359,0
0.138972467,222.4922359,0
